completion,prompt,use
"10/21～10/31まで✨
【アプリ会員様限定】店舗限定！トマオニオリジナルクリアファイルプレゼント🥳✨
トマオニでしか手に入らないとってもかわいいクリアファイルになっています✨

クーポン一覧にある引換券をお会計時にレジにてご提示ください😋
数量に限りがございます💦なくなり次第終了となりますので、お早めに♪

まだ会員へご登録いただいてない方はこれを機にぜひご登録ください🙌

実施店はこちら
創業店・高木店・三田ウッディタウン店・三国イーザ店・福知山岩井店・五個荘店・小浜店・峰山店・千里万博公園店・敦賀木崎店・鯖江インター店・神戸摩耶ランプ店・神戸長田店・神戸藤原台店・奈良榛原店・徳島沖浜店・徳島川内店・信州中野店・長岡店・柏原店・岡山城東・岡山江崎店・田辺店・岩出店・新宮佐野店・海南店・宮古店・石巻店

■アメリカンダイニング 「トマト＆オニオン」 
トマト＆オニオンは、美味しいハンバーグが食べられるハンバーグレストランです。お店はアーリーアメリカン調で、あたたかく家庭的なイメージを大切にしています。ステーキやハンバーグは美味しく召し上がって頂くため、アツアツの鉄板で提供するスタイルをとっています。",,False
".
ユブチョバプランチ
1,080円(税込1,188円)

人気のユブチョバプがランチでも食べられる！

海老バジル🦐
サーモン🐟
ツナマヨ🥫
プルコギ🍖
この4種類が一度で食べられる、オトクなランチ🍴

牛肉や牛骨を煮込んだ、コムタンスープ付き🐄

さ・ら・に！
サラダ、キムチと黒カレー＆ライスバー、スープバー付き！！
黒カレー＆ライスとスープはおかわり自由です🍛

12/6までの限定ランチです🌟

 じゅうじゅうカルビ  じゅうカル  食べ放題  焼肉食べ放題
 韓国フェア  ユブチョバプ  いなり寿司  sushi  🍣
 ランチ  焼肉ランチ  おかわり自由",MEO対策を考慮した投稿文を作成してください。内容は日本語で、文字数は100文字以上200文字以内でお願いします。具体的には、ユブチョバプランチの魅力を伝え、提供するメニュー（海老バジル、サーモン、ツナマヨ、プルコギ）、スープやサラダ、キムチ、黒カレー＆ライスバーの充実ぶりについて説明してください。また、限定の提供期間（12/6まで）も記載してください。,True
"【クリスマスイブまでカウントダウン　あと10日】
12月の最大のイベントのクリスマスイブまであと10日。聖夜のベルが鳴り響くまでカウントダウン。
4℃ブライダル銀座本店では、ショップの外観を25日まで華やなクリスマスイルミネーションでライトアップ
銀座中央通りでもひときわ目立つインスタ映えするスポットとしてお勧めです。
銀座へお立ち寄りの際は、是非、4℃ブライダル銀座本店へお越しください。",,False
"10月16日～配布開始！
削って当てよう！
創業祭スポーツニクラッチ⚽

ご来店のお客様へ1組1枚、
スクラッチ割引券をお渡しいたします🎫

はずれなし、最大半額🙄✨
年末年始にも使えてとってもオトク💓

お腹いっぱい焼肉を食べて、
オトクな割引券をもらおう💪🏻🌟",,False
"ラグナガーデンホテルでは、10月1日からクリスマスケーキの〈予約販売〉を開始いたしました！
🍰ホワイトクリスマス」
🍰ブッシュ・ド・ノエル
🍰シュトーレン

お得な【早期割引】や【ラグナクラブ会員割引】をご用意し、両方を併用すると最大10%OFFになります。

☆受渡期間は2024年12月20日から25日で、1階のパセオガーデンにて受け取れます。
☆お早めのご予約をお待ちしております！

まずは詳細をご確認くださいませ。
-------------------------------------------
ラグナガーデンホテルは、那覇空港から車で約30分、公共交通機関をご利用の場合は48分とアクセスも便利です。
宜野湾は、北部と中部の観光地への移動がしやすい位置にあり、観光に最適なロケーションです。
当ホテルには、屋内外のプールや多彩な飲食店、ショップも完備しており、特にご家族連れのお客様に多くご利用いただいています。
お子様が楽しめる設備やサービスも充実していますので、安心してご滞在いただけます。
ぜひラグナガーデンホテルで、心温まるひとときをお過ごしくださいませ。","次の指示に従って、MEO対策を考慮したSNS投稿文を自動生成してください。以下の条件を守ってください:
- 日本語で記述すること
- 文章の文字数は100文字以上200文字以内とすること
- 提供する内容には、ラグナガーデンホテルのクリスマスケーキ予約販売情報、受取期間、お得な早期割引や会員割引、ホテルのアクセス情報や施設紹介を含めること
- 地元の観光地へのアクセスや、家族連れにおすすめであることも触れること
これらの要素を組み合わせて魅力的な投稿文を作成してください。",True
"10月的第三個星期日，是日本的「孫子日」。
在這個加深和孫子之前親密關係的特別日子裡，何不試試『ゆず庵 (柚子庵)』的「慶祝套餐」呢？如果在前一天之前預訂，本店還將送上「慶祝茶碗蒸」作為贈品。
在『ゆず庵 (柚子庵)』，您可以享受壽司、涮涮鍋等豐富的日式料理吃到飽，請與家人一起度過美好而珍貴的時光吧。",MEO対策を考慮した、日本語でのSNS投稿文を自動生成してください。内容は、10月の第3日曜日に関連した特別なプロモーションについてで、具体的には『ゆず庵 (柚子庵)』の「慶祝套餐」に関する情報を含めてください。また、前日予約で「慶祝茶碗蒸」がもらえるという特典を強調してください。文章は150文字以上200文字以内にしてください。具体的なMEO対策として、店舗の特徴や料理の種類（寿司、涮涮鍋）も記載してください。,True
"10月の第3日曜日は、孫の日。
お孫様との絆を深める特別な日に、『ゆず庵』の「お祝いコース」はいかがでしょうか？前日までにご予約いただくと、「お祝い茶碗蒸し」をプレゼントいたします。
寿司やしゃぶしゃぶをはじめ、和食の食べ放題を楽しめる『ゆず庵』で、ご家族との大切な時間をお過ごしください。",MEO対策を考慮し、100文字以上200文字以内の日本語で、特定の飲食店のプロモーション文を作成してください。内容は、孫の日に家族や孫との絆を深めるための特別なコースやサービスを紹介し、予約の特典（例：お祝い茶碗蒸し）を強調してください。また、その飲食店の特色（例：寿司やしゃぶしゃぶを含む和食の食べ放題など）も具体的に取り入れてください。,True
"🍴11～14時のランチがオトク🍴

キャンペーン実施期間中に
本人確認済かつPayPay残高で
700円以上お支払いいただくと、
5%ポイントバック！

PayPayクレジット支払いなら
10％ポイントバック！

詳細は下記リンクからご確認ください🌟

＜開催期間＞
2023年12月1日(金)～2023年12月28日(木)",,False
"11/15~11/23まで✨
【アプリ会員様限定】七五三＆勤労感謝クーポン配信😋

七五三のお祝い＆日々頑張る皆さんへトマオニからのささやかなプレゼントクーポンです🥳
お得なクーポンでトマオニをご家族みなさんでお楽しみください✨

🌼七五三お祝いクーポン🌼
・ジュニアデミハンバーグセット　 714円(税込)⇒614円(税込)
・ジュニアチーズハンバーグセット　769円(税込)⇒669円(税込)
・おこさまパフェ　 109円(税込)⇒79円(税込)

🍻勤労感謝クーポン🍻
・“ジュ～シ～！”唐揚げ（５個）＋生ビール（中）　 911円(税込)⇒711円(税込)
・ローストビーフ＋生ビール（中）　 988円(税込)⇒788円(税込)
・生ビール（中） 　549円(税込)⇒449円(税込)

アプリ会員様限定なので、まだ会員登録されていない方は
ぜひこれを機にご登録いただき、お得なクーポンをゲットしてくださいね😋


～キッズ会員様限定のお得な情報～
アプリ会員様にご登録いただくと、小学6年生までキッズクラブ会員にご登録いただけます✨
キッズ会員様にはお得な特典が盛りだくさん✨

★誕生月に２日前までのご予約でケーキをプレゼント！
★誕生月にバースデークーポンをお届け！
★いつでもご利用いただける【ドリンクバー無料】クーポンをお届け！
★会員様限定特別クーポンをお届け！

ぜひ、こちらも併せてご登録ください🥳

■アメリカンダイニング 「トマト＆オニオン」
トマト＆オニオンは、美味しいハンバーグが食べられるハンバーグレストランです。お店はアーリーアメリカン調で、あたたかく家庭的なイメージを大切にしています。ステーキやハンバーグは美味しく召し上がって頂くため、アツアツの鉄板で提供するスタイルをとっています。",MEO対策を考慮して、アプリ会員向けに七五三と勤労感謝の特別クーポンについての投稿文を日本語で作成してください。内容には、クーポンの詳細、登録の促し、キッズ会員特典も含めて、100文字以上200文字以内で収めるようにしてください。トマト＆オニオンの魅力や、家庭的なイメージを引き立てる文調でお願いします。,True
".

11月29日は年に一度の＜いい肉の日＞🥩
今年ラストの食べ放題を開催いたします🎉

イチオシは、ずばり“ブレードミート”！
食べ応えバツグン！
食べ放題でいいの…？と聞きたくなる(かも😏)極厚ステーキ🥩
脂が程よく甘く、噛めば噛むほど旨みが口の中にジュワ～…🤤

ハンバーグやチキンステーキ、
他にサイドメニューや、トマオニで大好評の
黒カレーライス、スープなどが食べ飲み放題🎊

時間は90分1本勝負💪🏻🚩
そのあとは、ドリンクバーを飲みながらごゆっくりお過ごしください☕
お席は無制限、ドリンクバーがセットでついています😉

これだけ食べられて、お値段は税込4,200円！
(小学生は半額)

詳しい情報はトマオニHPをご覧ください💁🏻‍♂️
皆さまのご来店、心よりお待ちしております🍅

🌟開催店舗🌟
【東北】大館店、石巻店
【北陸・甲信越】信州中野店、三国イーザ店、高木店、敦賀木崎店、鯖江インター店、小浜店
【関西】千里万博公園店、五個荘店、神戸藤原台店、三田ウッディタウン店、神戸摩耶ランプ店、神戸長田店、赤穂店、福知山岩井店、創業店、峰山店
【中国・四国】岡山城東店、岡山江崎店、徳島沖浜店、徳島川内店

 トマオニ  ステーキ  ハンバーグ
 ステーキ食べ放題  ハンバーグ食べ放題  食べ放題
 いい肉の日  イイニクの日  挑戦者求む",,False
